date,equity,cash,positions
2023-08-02,101541.3,0.0,5
2023-08-03,101840.82,0.0,5
2023-08-04,102116.56,20859.79,4
2023-08-07,101897.63,41102.09,3
2023-08-08,101356.9,20229.91,4
2023-08-09,98690.16,39071.85,3
2023-08-10,99093.77,0.0,5
2023-08-11,96997.04,0.0,5
2023-08-14,96112.38,38811.98,3
2023-08-15,95795.08,57930.77,2
2023-08-16,95465.82,76407.37,1
2023-08-17,95513.82,95513.82,0
2023-08-18,95513.82,95513.82,0
2023-08-21,95513.82,95513.82,0
2023-08-22,95513.82,95513.82,0
2023-08-23,95513.82,95513.82,0
2023-08-24,95513.82,95513.82,0
2023-08-25,95513.82,95513.82,0
2023-08-28,95513.82,95513.82,0
2023-08-29,95513.82,95513.82,0
2023-08-30,95513.82,95513.82,0
2023-08-31,95513.82,95513.82,0
2023-09-01,95513.82,95513.82,0
2023-09-04,95513.82,95513.82,0
2023-09-05,95513.82,95513.82,0
2023-09-06,95513.82,95513.82,0
2023-09-07,95513.82,95513.82,0
2023-09-08,95513.82,95513.82,0
2023-09-11,95513.82,95513.82,0
2023-09-12,95513.82,95513.82,0
2023-09-13,95513.82,95513.82,0
2023-09-14,95513.82,95513.82,0
2023-09-15,95513.82,95513.82,0
2023-09-18,95513.82,95513.82,0
2023-09-19,95513.82,95513.82,0
2023-09-20,95513.82,95513.82,0
2023-09-21,95513.82,95513.82,0
2023-09-22,95513.82,95513.82,0
2023-09-25,95513.82,95513.82,0
2023-09-26,95513.82,95513.82,0
2023-09-27,95513.82,95513.82,0
2023-09-28,95513.82,95513.82,0
2023-10-09,95513.82,95513.82,0
2023-10-10,95513.82,95513.82,0
2023-10-11,95513.82,95513.82,0
2023-10-12,95513.82,95513.82,0
2023-10-13,95513.82,95513.82,0
2023-10-16,95513.82,95513.82,0
2023-10-17,95513.82,95513.82,0
2023-10-18,95513.82,95513.82,0
2023-10-19,95513.82,95513.82,0
2023-10-20,95513.82,95513.82,0
2023-10-23,95513.82,95513.82,0
2023-10-24,95513.82,95513.82,0
2023-10-25,95513.82,95513.82,0
2023-10-26,95513.82,95513.82,0
2023-10-27,95513.82,95513.82,0
2023-10-30,95513.82,95513.82,0
2023-10-31,95513.82,95513.82,0
2023-11-01,95513.82,95513.82,0
2023-11-02,95513.82,95513.82,0
2023-11-03,95513.82,95513.82,0
2023-11-06,95513.82,95513.82,0
2023-11-07,95513.82,95513.82,0
2023-11-08,95513.82,95513.82,0
2023-11-09,95513.82,95513.82,0
2023-11-10,95513.82,95513.82,0
2023-11-13,95513.82,95513.82,0
2023-11-14,95513.82,95513.82,0
2023-11-15,95513.82,95513.82,0
2023-11-16,95513.82,95513.82,0
2023-11-17,95513.82,95513.82,0
2023-11-20,95513.82,95513.82,0
2023-11-21,95513.82,95513.82,0
2023-11-22,95513.82,95513.82,0
2023-11-23,95513.82,95513.82,0
2023-11-24,95513.82,95513.82,0
2023-11-27,95513.82,95513.82,0
2023-11-28,95513.82,95513.82,0
2023-11-29,95513.82,95513.82,0
2023-11-30,95513.82,95513.82,0
2023-12-01,95513.82,95513.82,0
2023-12-04,95513.82,95513.82,0
2023-12-05,95513.82,95513.82,0
2023-12-06,95513.82,95513.82,0
2023-12-07,95513.82,95513.82,0
2023-12-08,95513.82,95513.82,0
2023-12-11,95513.82,95513.82,0
2023-12-12,95513.82,95513.82,0
2023-12-13,95513.82,95513.82,0
2023-12-14,95513.82,95513.82,0
2023-12-15,95513.82,95513.82,0
2023-12-18,95513.82,95513.82,0
2023-12-19,95513.82,95513.82,0
2023-12-20,95513.82,95513.82,0
2023-12-21,95513.82,95513.82,0
2023-12-22,95513.82,95513.82,0
2023-12-25,95513.82,95513.82,0
2023-12-26,95513.82,95513.82,0
2023-12-27,95513.82,95513.82,0
2023-12-28,95513.82,95513.82,0
2023-12-29,95513.82,95513.82,0
2024-01-02,95513.82,95513.82,0
2024-01-03,95513.82,95513.82,0
2024-01-04,95513.82,95513.82,0
2024-01-05,95513.82,95513.82,0
