date,equity,cash,positions
2024-08-27,105644.67,105644.67,0
2024-08-28,105644.67,105644.67,0
2024-08-29,105644.67,105644.67,0
2024-08-30,105644.67,105644.67,0
2024-09-02,105644.67,105644.67,0
2024-09-03,105644.67,105644.67,0
2024-09-04,105644.67,105644.67,0
2024-09-05,105644.67,105644.67,0
2024-09-06,105644.67,105644.67,0
2024-09-09,105644.67,105644.67,0
2024-09-10,105644.67,105644.67,0
2024-09-11,105644.67,105644.67,0
2024-09-12,105644.67,105644.67,0
2024-09-13,105644.67,105644.67,0
2024-09-18,105644.67,105644.67,0
2024-09-19,105644.67,105644.67,0
2024-09-20,105644.67,105644.67,0
2024-09-23,105644.67,105644.67,0
2024-09-24,105644.67,105644.67,0
2024-09-25,104117.12,63386.8,2
2024-09-26,106681.14,41918.48,3
2024-09-27,110097.33,43660.27,3
2024-09-30,114172.38,89903.07,1
2024-10-08,116596.07,116596.07,0
2024-10-09,116596.07,116596.07,0
2024-10-10,115288.67,69957.64,2
2024-10-11,112222.3,68657.67,2
2024-10-14,112948.51,89910.58,1
2024-10-15,111364.5,67320.88,2
2024-10-16,110337.68,44407.97,3
2024-10-17,109555.98,272.9,5
2024-10-18,110440.03,42947.17,3
2024-10-21,112514.45,44250.62,3
2024-10-22,111894.35,0.0,5
2024-10-23,111422.69,1822.11,5
2024-10-24,109182.77,-0.0,5
2024-10-25,109725.15,598.99,5
2024-10-28,105324.18,20411.31,4
2024-10-29,104455.06,0.0,5
2024-10-30,104492.88,0.0,5
2024-10-31,106111.93,2311.29,5
2024-11-01,106173.88,1503.37,5
2024-11-04,109284.98,1615.03,5
2024-11-05,112656.29,23460.65,4
2024-11-06,117336.44,47318.99,3
2024-11-07,119655.89,384.41,5
2024-11-08,120575.46,24087.88,4
2024-11-11,123708.55,49474.87,3
2024-11-12,121937.9,0.0,5
2024-11-13,121957.86,0.0,5
2024-11-14,115613.01,21954.35,4
2024-11-15,113295.31,68610.13,2
2024-11-18,109974.29,45317.15,3
2024-11-19,110144.93,21283.33,4
2024-11-20,110978.7,0.0,5
2024-11-21,112442.51,1200.02,5
2024-11-22,108711.67,1075.83,5
2024-11-25,107808.91,20389.52,4
2024-11-26,105043.15,0.0,5
2024-11-27,108334.03,20203.54,4
2024-11-28,108649.34,352.33,5
2024-11-29,110768.12,1505.14,5
2024-12-02,113747.11,4808.95,5
2024-12-03,115233.32,3455.83,5
2024-12-04,111806.96,3039.96,5
2024-12-05,111652.01,22556.18,4
2024-12-06,110777.11,0.0,5
2024-12-09,110932.01,0.0,5
2024-12-10,109858.43,22136.81,4
2024-12-11,112315.67,22345.98,4
2024-12-12,114701.0,45555.57,3
2024-12-13,113244.26,0.0,5
2024-12-16,108702.14,64323.79,2
2024-12-17,108010.97,85958.43,1
2024-12-18,107683.34,107683.34,0
2024-12-19,107683.34,107683.34,0
2024-12-20,107683.34,107683.34,0
2024-12-23,107683.34,107683.34,0
2024-12-24,107683.34,107683.34,0
2024-12-25,107153.6,64610.0,2
2024-12-26,107264.2,42671.84,3
2024-12-27,109034.8,-0.0,5
2024-12-30,111434.68,1430.23,5
2024-12-31,109842.02,1122.78,5
