baseline_date,regime,engine,ticker,name_cn,score,planned_entry_price,max_entry_price,stop_loss,target_1,holding_period,input_mode,bundle_id,bundle_composite_sha256,pit_grade
2022-07-26,choppy,alpha_rs_pullback,300748.SZ,,98.66,26.4,26.93,25.11,28.86,5,live,,,
2022-07-26,choppy,alpha_rs_pullback,002468.SZ,,98.65,12.36,12.61,11.7,13.6,5,live,,,
2022-11-15,choppy,alpha_rs_pullback,002385.SZ,,98.42,9.16,9.34,8.77,9.91,5,live,,,
2022-11-15,choppy,alpha_rs_pullback,600039.SH,,98.23,6.56,6.69,6.36,6.95,5,live,,,
2022-11-16,choppy,alpha_rs_pullback,002299.SZ,,98.37,23.75,24.23,22.39,26.13,5,live,,,
2022-11-16,choppy,alpha_rs_pullback,000878.SZ,,97.79,11.34,11.57,10.9,12.18,5,live,,,
2022-11-29,choppy,alpha_rs_pullback,603056.SH,,98.79,18.35,18.72,17.27,20.19,5,live,,,
2022-11-29,choppy,alpha_rs_pullback,600562.SH,,98.65,17.06,17.4,16.41,18.31,5,live,,,
2022-11-30,choppy,alpha_rs_pullback,002568.SZ,,98.29,34.81,35.51,32.98,38.29,5,live,,,
2022-11-30,choppy,alpha_rs_pullback,002439.SZ,,98.19,26.38,26.91,25.11,28.8,5,live,,,
2022-12-01,bull,alpha_rs_pullback,600562.SH,,97.83,16.96,17.3,16.3,18.22,5,live,,,
2022-12-01,bull,alpha_rs_pullback,002372.SZ,,96.73,18.61,18.98,17.67,20.4,5,live,,,
2022-12-02,bull,alpha_rs_pullback,603883.SH,,97.65,30.21,30.81,28.23,33.23,5,live,,,
2022-12-02,bull,alpha_rs_pullback,600426.SH,,97.08,22.62,23.07,21.92,23.96,5,live,,,
2022-12-05,bull,alpha_rs_pullback,603128.SH,,96.32,10.15,10.35,9.8,10.81,5,live,,,
2022-12-05,bull,alpha_rs_pullback,000860.SZ,,96.18,30.16,30.76,28.78,32.79,5,live,,,
2022-12-06,bull,alpha_rs_pullback,000860.SZ,,96.61,30.65,31.26,29.23,33.36,5,live,,,
2022-12-06,bull,alpha_rs_pullback,600547.SH,,96.56,20.15,20.55,19.49,21.41,5,live,,,
2022-12-07,bull,alpha_rs_pullback,601668.SH,,98.34,4.82,4.92,4.6,5.24,5,live,,,
2022-12-07,bull,alpha_rs_pullback,300033.SZ,,97.54,70.36,71.77,67.72,75.4,5,live,,,
2022-12-08,bull,alpha_rs_pullback,300033.SZ,,98.94,69.98,71.38,67.34,75.02,5,live,,,
2022-12-08,bull,alpha_rs_pullback,601668.SH,,98.59,4.84,4.94,4.62,5.26,5,live,,,
2022-12-09,bull,alpha_rs_pullback,603338.SH,,98.41,48.67,49.64,46.56,52.71,5,live,,,
2022-12-09,bull,alpha_rs_pullback,300253.SZ,,98.37,10.55,10.76,9.98,11.64,5,live,,,
2022-12-12,bull,alpha_rs_pullback,300253.SZ,,98.65,10.51,10.72,9.95,11.58,5,live,,,
2022-12-12,bull,alpha_rs_pullback,603027.SH,,98.15,14.42,14.71,13.83,15.54,5,live,,,
2022-12-13,bull,alpha_rs_pullback,002262.SZ,,98.75,19.52,19.91,18.64,21.2,5,live,,,
2022-12-13,bull,alpha_rs_pullback,002568.SZ,,98.22,37.38,38.13,35.43,41.1,5,live,,,
2022-12-14,bull,alpha_rs_pullback,600872.SH,,97.79,38.03,38.79,36.46,41.02,5,live,,,
2022-12-14,bull,alpha_rs_pullback,002262.SZ,,95.64,19.68,20.07,18.78,21.4,5,live,,,
2022-12-15,bull,alpha_rs_pullback,000860.SZ,,98.63,31.25,31.88,29.72,34.18,5,live,,,
2022-12-15,bull,alpha_rs_pullback,002928.SZ,,98.29,13.6,13.87,12.8,14.96,5,live,,,
2022-12-16,bull,alpha_rs_pullback,000860.SZ,,98.96,31.29,31.92,29.77,34.19,5,live,,,
2022-12-16,bull,alpha_rs_pullback,603866.SH,,98.78,11.68,11.91,11.07,12.84,5,live,,,
2022-12-19,bull,alpha_rs_pullback,002928.SZ,,98.76,13.65,13.92,12.92,15.02,5,live,,,
2022-12-19,bull,alpha_rs_pullback,600859.SH,,97.4,29.08,29.66,27.54,31.99,5,live,,,
2022-12-27,choppy,alpha_rs_pullback,601021.SH,,98.19,61.84,63.08,58.8,67.64,5,live,,,
2022-12-27,choppy,alpha_rs_pullback,002027.SZ,,97.98,5.35,5.46,5.11,5.81,5,live,,,
2022-12-28,choppy,alpha_rs_pullback,600515.SH,,97.5,5.07,5.17,4.8,5.58,5,live,,,
2022-12-28,choppy,alpha_rs_pullback,300146.SZ,,97.05,20.12,20.52,19.25,21.79,5,live,,,
2022-12-29,choppy,alpha_rs_pullback,600763.SH,,98.38,105.11,107.21,100.81,113.31,5,live,,,
2022-12-29,choppy,alpha_rs_pullback,300146.SZ,,97.83,20.06,20.46,19.19,21.72,5,live,,,
2022-12-30,choppy,alpha_rs_pullback,603198.SH,,98.44,55.67,56.78,52.71,61.24,5,live,,,
2022-12-30,choppy,alpha_rs_pullback,300146.SZ,,97.98,19.89,20.29,19.05,21.48,5,live,,,
2023-01-03,choppy,alpha_rs_pullback,002092.SZ,,96.36,7.37,7.52,7.12,7.84,5,live,,,
2023-01-03,choppy,alpha_rs_pullback,002044.SZ,,95.48,5.93,6.05,5.61,6.52,5,live,,,
2023-01-04,choppy,alpha_rs_pullback,002511.SZ,,97.73,13.34,13.61,12.71,14.55,5,live,,,
2023-01-04,choppy,alpha_rs_pullback,600050.SH,,97.26,4.55,4.64,4.35,4.94,5,live,,,
2023-01-05,bull,alpha_rs_pullback,002518.SZ,,98.14,57.88,59.04,54.3,63.67,5,live,,,
2023-01-05,bull,alpha_rs_pullback,002511.SZ,,97.73,13.34,13.61,12.72,14.53,5,live,,,
2023-01-06,bull,alpha_rs_pullback,688235.SH,,97.64,142.66,145.51,137.54,152.44,5,live,,,
2023-01-06,bull,alpha_rs_pullback,600050.SH,,97.01,4.52,4.61,4.32,4.91,5,live,,,
2023-01-09,bull,alpha_rs_pullback,300413.SZ,,98.91,31.16,31.78,29.63,34.08,5,live,,,
2023-01-09,bull,alpha_rs_pullback,300347.SZ,,97.12,106.23,108.35,101.0,116.21,5,live,,,
2023-01-10,bull,alpha_rs_pullback,300413.SZ,,98.93,31.18,31.8,29.69,34.03,5,live,,,
2023-01-10,bull,alpha_rs_pullback,002511.SZ,,98.72,13.26,13.53,12.67,14.4,5,live,,,
2023-01-11,bull,alpha_rs_pullback,002044.SZ,,98.53,6.32,6.45,5.96,6.95,5,live,,,
2023-01-11,bull,alpha_rs_pullback,300146.SZ,,97.77,20.88,21.3,20.1,22.37,5,live,,,
2023-01-12,bull,alpha_rs_pullback,603997.SH,,98.6,15.38,15.69,14.52,16.92,5,live,,,
2023-01-12,bull,alpha_rs_pullback,300347.SZ,,98.41,106.63,108.76,101.69,116.07,5,live,,,
2023-01-13,bull,alpha_rs_pullback,000951.SZ,,98.67,14.65,14.94,14.07,15.77,5,live,,,
2023-01-13,bull,alpha_rs_pullback,000938.SZ,,98.37,23.34,23.81,22.55,24.84,5,live,,,
2023-01-16,bull,alpha_rs_pullback,600050.SH,,98.17,4.55,4.64,4.37,4.9,5,live,,,
2023-01-16,bull,alpha_rs_pullback,002555.SZ,,97.57,16.43,16.76,15.82,17.6,5,live,,,
2023-01-17,bull,alpha_rs_pullback,603198.SH,,98.91,63.09,64.35,59.94,69.11,5,live,,,
2023-01-17,bull,alpha_rs_pullback,300979.SZ,,98.7,58.61,59.78,56.17,63.27,5,live,,,
2023-01-18,bull,alpha_rs_pullback,000568.SZ,,98.87,218.06,222.42,210.64,232.22,5,live,,,
2023-01-18,bull,alpha_rs_pullback,601336.SH,,98.33,28.48,29.05,27.56,30.24,5,live,,,
2023-01-19,bull,alpha_rs_pullback,000568.SZ,,97.96,218.83,223.21,211.23,233.35,5,live,,,
2023-01-19,bull,alpha_rs_pullback,002572.SZ,,97.83,16.75,17.09,16.02,18.14,5,live,,,
2023-01-20,bull,alpha_rs_pullback,300558.SZ,,98.8,60.66,61.87,57.78,66.15,5,live,,,
2023-01-20,bull,alpha_rs_pullback,600958.SH,,98.32,10.14,10.34,9.67,11.03,5,live,,,
2023-01-30,bull,alpha_rs_pullback,300759.SZ,,98.12,52.78,53.84,50.0,58.08,5,live,,,
2023-01-30,bull,alpha_rs_pullback,002517.SZ,,97.42,7.59,7.74,7.26,8.22,5,live,,,
2023-01-31,bull,alpha_rs_pullback,603444.SH,,98.55,314.56,320.85,304.03,334.66,5,live,,,
2023-01-31,bull,alpha_rs_pullback,300118.SZ,,98.09,33.24,33.9,31.43,36.7,5,live,,,
2023-02-01,bull,alpha_rs_pullback,002555.SZ,,98.89,17.14,17.48,16.55,18.26,5,live,,,
2023-02-01,bull,alpha_rs_pullback,600225.SH,,98.49,7.32,7.47,6.9,8.05,5,live,,,
2023-02-02,bull,alpha_rs_pullback,688561.SH,,98.79,79.0,80.58,75.46,85.76,5,live,,,
2023-02-02,bull,alpha_rs_pullback,002607.SZ,,98.16,6.09,6.21,5.77,6.7,5,live,,,
2023-02-03,bull,alpha_rs_pullback,000858.SZ,,99.0,178.54,182.11,173.27,188.61,5,live,,,
2023-02-03,bull,alpha_rs_pullback,688153.SH,,98.0,51.76,52.8,48.32,58.32,5,live,,,
2023-02-06,bull,alpha_rs_pullback,000921.SZ,,98.83,15.07,15.37,14.57,16.02,5,live,,,
2023-02-06,bull,alpha_rs_pullback,000032.SZ,,97.92,28.29,28.86,26.42,31.12,5,live,,,
2023-02-07,bull,alpha_rs_pullback,603369.SH,,98.87,53.46,54.53,50.95,58.25,5,live,,,
2023-02-07,bull,alpha_rs_pullback,002601.SZ,,98.8,19.19,19.57,18.7,20.12,5,live,,,
2023-02-08,choppy,alpha_rs_pullback,000921.SZ,,98.99,15.06,15.36,14.56,16.02,5,live,,,
2023-02-08,choppy,alpha_rs_pullback,002044.SZ,,98.69,6.54,6.67,6.21,7.17,5,live,,,
2023-02-09,bull,alpha_rs_pullback,688036.SH,,98.92,58.16,59.32,55.15,63.91,5,live,,,
2023-02-09,bull,alpha_rs_pullback,000683.SZ,,98.78,7.79,7.95,7.54,8.27,5,live,,,
2023-02-10,choppy,alpha_rs_pullback,601728.SH,,98.85,4.4,4.49,4.21,4.77,5,live,,,
2023-02-10,choppy,alpha_rs_pullback,002254.SZ,,98.76,25.13,25.63,24.12,27.06,5,live,,,
2023-02-13,bull,alpha_rs_pullback,603486.SH,,98.52,90.44,92.25,85.42,99.48,5,live,,,
2023-02-13,bull,alpha_rs_pullback,002747.SZ,,98.32,26.15,26.67,25.07,28.22,5,live,,,
2023-02-14,bull,alpha_rs_pullback,603486.SH,,98.26,90.87,92.69,86.02,99.96,5,live,,,
2023-02-14,bull,alpha_rs_pullback,600166.SH,,98.01,3.48,3.55,3.32,3.78,5,live,,,
2023-02-15,choppy,alpha_rs_pullback,600933.SH,,98.9,23.34,23.81,22.37,25.19,5,live,,,
2023-02-15,choppy,alpha_rs_pullback,000921.SZ,,98.88,15.76,16.08,15.21,16.81,5,live,,,
2023-02-16,choppy,alpha_rs_pullback,600166.SH,,98.51,3.46,3.53,3.29,3.78,5,live,,,
2023-02-16,choppy,alpha_rs_pullback,002254.SZ,,98.37,25.37,25.88,24.3,27.42,5,live,,,
2023-02-17,choppy,alpha_rs_pullback,603993.SH,,98.8,5.4,5.51,5.19,5.81,5,live,,,
2023-02-17,choppy,alpha_rs_pullback,688278.SH,,98.52,43.84,44.72,42.18,47.02,5,live,,,
2023-02-20,bull,alpha_rs_pullback,600867.SH,,98.83,10.12,10.32,9.7,10.92,5,live,,,
2023-02-20,bull,alpha_rs_pullback,600771.SH,,98.49,36.6,37.33,35.09,39.48,5,live,,,
2023-02-21,bull,alpha_rs_pullback,000858.SZ,,98.51,178.61,182.18,172.8,189.7,5,live,,,
2023-02-21,bull,alpha_rs_pullback,600867.SH,,98.5,10.1,10.3,9.68,10.91,5,live,,,
2023-02-22,choppy,alpha_rs_pullback,000951.SZ,,99.0,15.7,16.01,14.92,17.2,5,live,,,
2023-02-22,choppy,alpha_rs_pullback,600867.SH,,98.91,10.11,10.31,9.69,10.91,5,live,,,
2023-02-23,choppy,alpha_rs_pullback,603338.SH,,98.98,54.62,55.71,52.85,58.0,5,live,,,
2023-02-23,choppy,alpha_rs_pullback,002254.SZ,,98.61,25.47,25.98,24.55,27.23,5,live,,,
2023-02-24,choppy,alpha_rs_pullback,002572.SZ,,98.88,17.85,18.21,17.09,19.31,5,live,,,
2023-02-24,choppy,alpha_rs_pullback,600166.SH,,98.83,3.66,3.73,3.52,3.92,5,live,,,
2023-02-27,choppy,alpha_rs_pullback,603198.SH,,98.68,62.99,64.25,60.47,67.81,5,live,,,
