ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000300.SH,2020-04-14,3825.6991,3777.8343,3825.7599,3764.9838,3753.2566,72.4425,1.9301,110637585.0,170612579.7924
000300.SH,2020-04-15,3797.3623,3820.8506,3829.8009,3793.4402,3825.6991,-28.3368,-0.7407,108461984.0,169700216.633
000300.SH,2020-04-16,3802.3806,3777.7986,3807.3569,3774.5585,3797.3623,5.0183,0.1322,95947965.0,147164302.0569
000300.SH,2020-04-17,3839.4871,3831.9232,3863.4521,3821.4201,3802.3806,37.1065,0.9759,132004301.0,203595267.0335
000300.SH,2020-04-20,3853.4551,3845.4598,3853.7984,3831.553,3839.4871,13.968,0.3638,100013115.0,151924090.1166
000300.SH,2020-04-21,3808.0474,3838.2314,3838.2314,3779.9967,3853.4551,-45.4077,-1.1784,102921888.0,155077454.132
000300.SH,2020-04-22,3839.3834,3789.1297,3839.3834,3782.2149,3808.0474,31.336,0.8229,85899464.0,135547280.7902
000300.SH,2020-04-23,3829.7525,3851.9132,3857.4709,3826.5565,3839.3834,-9.6309,-0.2508,95508450.0,142122548.8318
000300.SH,2020-04-24,3796.9721,3826.3116,3827.212,3787.0714,3829.7525,-32.7804,-0.8559,94844135.0,138961200.2827
000300.SH,2020-04-27,3822.769,3808.0171,3842.8706,3793.7655,3796.9721,25.7969,0.6794,95462735.0,145301151.875
000300.SH,2020-04-28,3849.1465,3835.348,3859.6754,3768.2,3822.769,26.3775,0.69,122093476.0,184179759.2403
000300.SH,2020-04-29,3867.032,3837.5135,3880.7444,3833.7164,3849.1465,17.8855,0.4647,95854590.0,151282103.7442
000300.SH,2020-04-30,3912.5772,3880.4094,3921.7004,3880.4094,3867.032,45.5452,1.1778,132917125.0,202268288.8023
000300.SH,2020-05-06,3936.2539,3867.2587,3937.6909,3865.9875,3912.5772,23.6767,0.6051,139855675.0,214935962.3644
000300.SH,2020-05-07,3924.8946,3937.5918,3941.4833,3915.9048,3936.2539,-11.3593,-0.2886,105514646.0,167207801.8402
000300.SH,2020-05-08,3963.6217,3942.9972,3979.6627,3935.9805,3924.8946,38.7271,0.9867,116943341.0,190299584.7169
000300.SH,2020-05-11,3960.1803,3974.7605,3998.0972,3944.5037,3963.6217,-3.4414,-0.0868,122673803.0,193758093.8998
000300.SH,2020-05-12,3960.2378,3961.3427,3970.1115,3930.2108,3960.1803,0.0575,0.0015,98250554.0,157465780.0599
000300.SH,2020-05-13,3968.2529,3946.6428,3972.5254,3932.5711,3960.2378,8.0151,0.2024,88190669.0,145563383.2758
000300.SH,2020-05-14,3925.2177,3952.1986,3952.1986,3924.0452,3968.2529,-43.0352,-1.0845,88530004.0,143499177.7198
000300.SH,2020-05-15,3912.8159,3941.125,3945.1956,3907.4021,3925.2177,-12.4018,-0.316,92618382.0,153301505.1494
000300.SH,2020-05-18,3922.9117,3914.6602,3946.4312,3898.4041,3912.8159,10.0958,0.258,112801762.0,188528121.3676
